policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     3.0128  2.9975  3.9787  2.9135  2.9016  3.7858  2.4166  2.3968  2.9407  
W-tLFU  3.0786  2.8876  3.8266  2.7879  2.6166  3.4177  2.1021  2.0062  2.4988  
FRD     2.9500  2.9409  3.8989  2.7509  2.7470  3.5827  2.2042  2.1986  2.7022  
Hyper   2.9503  2.9419  3.9028  2.7413  2.7383  3.5725  2.1672  2.1609  2.6680  
