policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     3.0306  2.9950  3.9607  3.0309  2.9893  3.9388  2.8979  2.8545  3.6376  
W-tLFU  3.1559  2.9637  3.9385  2.9745  2.8052  3.6934  2.5481  2.4083  3.0892  
FRD     3.0221  2.9806  3.9451  2.9225  2.9017  3.8062  2.4676  2.4367  3.0868  
Hyper   3.0013  2.9751  3.9436  2.9359  2.9080  3.8398  2.5658  2.5360  3.2428  
