policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     2.6404  2.6853  3.1102  2.6283  2.6157  2.9428  2.4734  2.4239  2.7082  
W-tLFU  2.6471  2.5725  3.1825  2.5073  2.4518  2.9716  2.3371  2.3204  2.7154  
FRD     2.6622  2.6229  3.0823  2.5344  2.5025  2.8804  2.4299  2.3796  2.6926  
Hyper   2.5443  2.5734  3.0658  2.4248  2.4624  2.8657  2.3465  2.3329  2.6629  
