policy  4KAlg   4KBM    4KCF    16KAlg  16KBM   16KCF   64KAlg  64KBM   64KCF
LRU     3.0304  2.9933  3.9673  3.0152  2.9938  3.9499  2.9149  2.7982  3.4975  
W-tLFU  3.1431  2.9488  3.9190  2.8975  2.7255  3.5794  1.9563  1.8871  2.3179  
FRD     2.9972  2.9742  3.9448  2.8672  2.8558  3.7447  2.1705  2.1494  2.6389  
Hyper   2.9898  2.9669  3.9391  2.8737  2.8595  3.7738  2.2074  2.1846  2.7148  
